# Date,,Receipt_Count
1/1/2021,1,7564766
1/2/2021,1,7455524
1/3/2021,1,7095414
1/4/2021,1,7666163
1/5/2021,1,7771289
1/6/2021,1,7473320
1/7/2021,1,7832624
1/8/2021,1,7765028
1/9/2021,1,7385245
1/10/2021,1,7392087
1/11/2021,1,7738899
1/12/2021,1,7840830
1/13/2021,1,8122546
1/14/2021,1,7694195
1/15/2021,1,7200595
1/16/2021,1,7744470
1/17/2021,1,7610648
1/18/2021,1,7880913
1/19/2021,1,7250032
1/20/2021,1,7666397
1/21/2021,1,7742477
1/22/2021,1,7807438
1/23/2021,1,7603625
1/24/2021,1,7572947
1/25/2021,1,7598153
1/26/2021,1,7194687
1/27/2021,1,7787109
1/28/2021,1,7631075
1/29/2021,1,7750536
1/30/2021,1,8059526
1/31/2021,1,7838129
2/1/2021,2,7714465
2/2/2021,2,7766408
2/3/2021,2,7832259
2/4/2021,2,7506461
2/5/2021,2,7816477
2/6/2021,2,7360372
2/7/2021,2,8039414
2/8/2021,2,7858632
2/9/2021,2,7810951
2/10/2021,2,7579882
2/11/2021,2,8127696
2/12/2021,2,7748085
2/13/2021,2,8117805
2/14/2021,2,7780006
2/15/2021,2,7916028
2/16/2021,2,7736671
2/17/2021,2,8082781
2/18/2021,2,7824063
2/19/2021,2,7761256
2/20/2021,2,7821879
2/21/2021,2,7760399
2/22/2021,2,8330147
2/23/2021,2,8053953
2/24/2021,2,7816117
2/25/2021,2,8156649
2/26/2021,2,7857443
2/27/2021,2,7881212
2/28/2021,2,7975949
3/1/2021,3,7970632
3/2/2021,3,7998865
3/3/2021,3,7748662
3/4/2021,3,8080043
3/5/2021,3,7971011
3/6/2021,3,8309959
3/7/2021,3,7945271
3/8/2021,3,8352635
3/9/2021,3,7861647
3/10/2021,3,7920726
3/11/2021,3,7921232
3/12/2021,3,8142874
3/13/2021,3,7731725
3/14/2021,3,8070687
3/15/2021,3,7825047
3/16/2021,3,7920469
3/17/2021,3,7946897
3/18/2021,3,8090998
3/19/2021,3,8415152
3/20/2021,3,8325436
3/21/2021,3,8105278
3/22/2021,3,7562433
3/23/2021,3,8096085
3/24/2021,3,8034268
3/25/2021,3,8050876
3/26/2021,3,8077321
3/27/2021,3,7999117
3/28/2021,3,8082481
3/29/2021,3,8126444
3/30/2021,3,7911341
3/31/2021,3,8013013
